number,title,verdict,evidence
7203,"fix: add dashboard-scoped typecheck gate covering src/app/(dashboard) TSX (#7033)",SKIP,SKIP:not-selected|files:9
7202,"fix(ci): run quality gates on Mergify merge-queue draft PRs",SKIP,SKIP:infra-only|files:2
7201,"fix: honor combo-level proxy assignments from the registry (#7149)",SKIP,SKIP:not-selected|files:6
7200,"fix(dashboard): implement missing handleToggleSource on Free Pool tab (#7161)",SKIP,SKIP:not-selected|files:3
7199,"fix: filter hidden custom models out of legacy combo model picker (#7156)",SKIP,SKIP:not-selected|files:3
7198,"fix: stop duplicating text in Gemini Web streamed responses (#7163)",SKIP,SKIP:not-selected|files:3
7197,"fix: agent bridge dns toggle uses POST; not PUT (#7157)",SKIP,SKIP:not-selected|files:3
7196,"fix: surface real claude-web error body for non-SSE 400s (#7134)",SKIP,SKIP:not-selected|files:3
7195,"fix: wire modelAliases fetch into HermesAgentToolCard (#7151)",SKIP,SKIP:not-selected|files:3
7194,"fix: restore mobile grid-cols-1 fallback on quota page card grid (#7072)",SKIP,SKIP:not-selected|files:4
7193,"fix(providers): reject chat requests for cloud-agent-only jules provider (#6699)",SKIP,SKIP:not-selected|files:3
7192,"fix: zai-web connection-test cookie probe now honors the configured proxy (#7058)",SKIP,SKIP:not-selected|files:4
7191,"fix: raise main server keepAliveTimeout/headersTimeout above Node's 5s default (#7003)",SKIP,SKIP:not-selected|files:6
7190,"fix: sanitize non-Latin1 chars in combo diagnostic headers (#6612)",SKIP,SKIP:not-selected|files:3
7189,"fix: include proxyId when testing a saved registry proxy (#7080)",SKIP,SKIP:not-selected|files:3
7188,"fix: refresh OpenCode (oc) free-tier model catalog (#6998)",SKIP,SKIP:not-selected|files:5
7187,"fix: stop opencode-go quota lookup defaulting to Z.AI endpoint (#7022)",SKIP,SKIP:not-selected|files:7
7186,"fix(db): cap OOM probe-failure cycle in getDbInstance() (#6835)",SKIP,SKIP:not-selected|files:4
7185,"fix(providers): DuckDuckGo VQD 429 misclassified as 503 (#6996)",SKIP,SKIP:not-selected|files:3
7184,"merge queue: checking release/v3.8.49 (dee9750) and #7175 together",SKIP,SKIP:infra-only|files:2
7183,"fix: wire adaptive context-budget dial into settings schema and DB (#7005)",SKIP,SKIP:not-selected|files:7
7182,"fix: preserve relayAuth for pool-referenced relay proxies (#5716)",SKIP,SKIP:not-selected|files:5
7181,"fix: recognize Ollama Cloud session usage-limit 429 as quota-exhausted (#7071)",SKIP,SKIP:not-selected|files:5
7180,"fix: extend turbopack ignoreIssue suppression to compression module (#7051)",SKIP,SKIP:not-selected|files:3
7179,"fix(ci): Mergify auto-enqueue rule (queue_conditions alone are eligibility-only)",SKIP,SKIP:infra-only|files:1
7178,"fix: add handleToggleSource to FreePoolTab and fix CSP for cloudflareinsights",SKIP,SKIP:not-selected|files:31
7177,"fix(combo): reject known context overflow without exhausting providers",SKIP,SKIP:not-selected|files:13
7176,"fix(codex): preserve encrypted reasoning without fake summaries",SKIP,SKIP:not-selected|files:3
7175,"feat(ci): Trunk Flaky Tests uploads for vitest + Playwright E2E (WS5.2/5.3)",SKIP,SKIP:infra-only|files:2
7174,"fix(tests+providers): env-dependent tests exposed by GH-hosted runners (#6634 selfref shallow checkout + yuanbao live-network 401)",SKIP,SKIP:not-selected|files:5
7172,"fix(combo): fall back on Responses SSE failures",SKIP,SKIP:not-selected|files:2
7171,"fix(executors): disable parallel tools for Codex Responses Lite",SKIP,SKIP:not-selected|files:3
7170,"fix(deps): pin transitive esbuild to 0.27.x (avoid 0.28 transform regression) (#5757)",SKIP,SKIP:infra-only|files:1
7169,"fix(quality): anchor cognitive-complexity parse on the cognitive section (#7009)",SKIP,SKIP:not-selected|files:2
7168,"chore(ci): add .mergify.yml to main (Mergify reads config only from the default branch)",SKIP,SKIP:infra-only|files:1
7167,"fix(compression): lazy-load typescript in RTK codeStripper (#7096)",SKIP,SKIP:not-selected|files:2
7166,"fix(providers): accept m365.cloud.microsoft for copilot-m365-web token (#7078)",SKIP,SKIP:not-selected|files:2
7165,"fix(providers): classify Cloudflare neuron 429 as quota_exhausted (#6980)",SKIP,SKIP:not-selected|files:3
7164,"fix(compression): lazy-load typescript in RTK codeStripper so prod-lean deploys don't break (#7096)",SKIP,SKIP:not-selected|files:2
7160,"fix(docker): approve better-sqlite3 install scripts before rebuild",SKIP,SKIP:not-selected|files:1
7158,"chore: establish Bun as the repository package manager",SKIP,SKIP:not-selected|files:7
7155,"chore: adopt TypeScript 7 as the blocking compiler",SKIP,SKIP:infra-only|files:2
7154,"Add Codex reset credit picker and normalize Responses content",SKIP,SKIP:not-selected|files:22
7153,"Add Codex reset credit picker and normalize Responses content",SKIP,SKIP:not-selected|files:21
7147,"chore(ci): promote test:vitest:ui to blocking (suite green after #7127)",SKIP,SKIP:infra-only|files:2
7141,"added files for production",SKIP,SKIP:not-selected|files:2
7139,"fix(ci): raise dast-smoke timeout 12→25min (build alone eats up to 11min)",SKIP,SKIP:infra-only|files:2
7136,"Use OpenAI chunks for early chat keepalives",SKIP,SKIP:not-selected|files:4
7135,"Fix test-masking self-check on release branches",SKIP,SKIP:not-selected|files:1
7133,"feat(homolog): real-environment E2E homologation suite (npm run homolog)",SKIP,SKIP:not-selected|files:26
7131,"fix grid components in provider quota",SKIP,SKIP:not-selected|files:1
7130,"feat(sidecar): support conditional provider manifest refresh",SKIP,SKIP:not-selected|files:3
7129,"fix(models): update Anthropic model contextLength to 1M",SKIP,SKIP:not-selected|files:3
7128,"Fix p95 fallback in speed-optimized routing",SKIP,SKIP:not-selected|files:2
7127,"fix(tests): vitest UI suite back to green (69 fails triaged — WS6.1)",SKIP,SKIP:not-selected|files:30
7125,"fix(dashboard): align onboarding tier content",SKIP,SKIP:not-selected|files:5
7124,"fix(dashboard): add vision-capability toggle for custom OpenAI-compatible models",SKIP,SKIP:not-selected|files:51
7123,"fix(electron): strip hashed native modules from standalone and fix removal path",SKIP,SKIP:not-selected|files:1
7122,"fix(oauth): resolve Kiro AWS SSO cache client credentials by clientId match",SKIP,SKIP:not-selected|files:5
7121,"fix(combo): detect empty content_block in streaming SSE peek",SKIP,SKIP:not-selected|files:3
7120,"fix(combos): reject oversized fusion panels before fan-out",SKIP,SKIP:not-selected|files:5
7119,"fix(api): check Vercel SSO-protection PATCH response on relay deploy",SKIP,SKIP:not-selected|files:3
7118,"fix(dashboard): include never-tested connections in combo builder active-provider list",SKIP,SKIP:not-selected|files:4
7117,"fix(cli): remove MITM DNS spoof entries before killing server process",SKIP,SKIP:not-selected|files:4
7116,"fix(sse): handle space-separated arg name/value in Composer tool calls",SKIP,SKIP:not-selected|files:3
7115,"chore(ops): runner-box janitor + operations runbook (WS3.3)",SKIP,SKIP:not-selected|files:3
7114,"feat(ci): Codecov patch coverage (informational) + missing lcov reporter fix (WS5.6)",SKIP,SKIP:not-selected|files:3
7113,"feat(ci): Windows leg for Electron prepare smoke (WS1.5)",SKIP,SKIP:infra-only|files:2
7112,"feat(ci): Mergify merge queue + manual-train fallback runbook (WS3.4/WS3.2)",SKIP,SKIP:infra-only|files:3
7109,"feat(release): post-publish verifier — clean-container install + boot (WS1.4)",SKIP,SKIP:not-selected|files:4
7108,"fix(providers): add MiniMax image-generation provider",PORT,named-map-id
7107,"docs(quality): per-runner retry policy + release-level ratchet-drift rule (WS5.4/WS5.5)",SKIP,SKIP:infra-only|files:2
7106,"fix(sse): sanitize non-ok Antigravity streaming error body",SKIP,SKIP:not-selected|files:3
7105,"fix(cli): verify better-sqlite3 native binary is actually loadable",SKIP,SKIP:not-selected|files:3
7104,"fix(executors): forward X-Session-ID/X-Title agent metadata headers",SKIP,SKIP:not-selected|files:3
7103,"fix(providers): surface a warning on 404 model_not_found in OpenAI-compatible Check",SKIP,SKIP:not-selected|files:3
7102,"fix(compression): Headroom SmartCrusher skips developer-role messages",SKIP,SKIP:not-selected|files:3
7101,"fix(openai): strip reasoning_effort when GPT-5.x models carry function tools",SKIP,SKIP:not-selected|files:4
7100,"fix(codex): strip regex lookaround from tool schema patterns",SKIP,SKIP:not-selected|files:4
7099,"chore(ci): gate hygiene — secrets baseline 0; semgrep drop; hadolint (WS6/D3 + WS1.7)",SKIP,SKIP:not-selected|files:4
7098,"fix(sse): recognize xiaomi-tokenplan mimo as a thinking-mode model",PORT,named-map-id
7095,"fix(stream): expose encrypted Codex reasoning to chat clients",SKIP,SKIP:not-selected|files:4
7093,"fix(relay): bound Bifrost stream lifetime",PORT,named-map-id
7092,"feat(release): npm staged publishing + pre-publish boot-smoke (WS1.3)",SKIP,SKIP:infra-only|files:3
7091,"feat(ci): TypeScript 7 native shadow for typecheck:core (WS4.2; advisory)",SKIP,SKIP:infra-only|files:2
7090,"feat(ci): duration-balanced E2E shards via LPT bin-packing (WS4.1)",SKIP,SKIP:not-selected|files:5
7089,"feat(ci): continuous release-green — on-push quick gate + 3×/day full sweep (WS5.1)",SKIP,SKIP:infra-only|files:2
7088,"feat(ci): hotfix fast-lane + tests-only E2E skip (WS3.1)",SKIP,SKIP:not-selected|files:5
7087,"Explain effective auto-combo scoring weights",SKIP,SKIP:not-selected|files:3
7086,"feat(ci): boot-smoke the packed npm tarball (check:pack-boot — #7065 class killer)",SKIP,SKIP:not-selected|files:6
7085,"test(ci): make masking self-reference check hermetic",SKIP,SKIP:not-selected|files:1
7084,"test(translator): align Antigravity Gemini thinking default",SKIP,SKIP:not-selected|files:1
7083,"chore(release): gate the sync-back push on release-green --quick (WS0.3)",SKIP,SKIP:not-selected|files:3
7081,"test(build): pack-artifact closure tests for all npm-shipped entrypoints (#7065 class)",SKIP,SKIP:not-selected|files:4
7077,"fix(db): register omniglyph in compression engine allowlists (combos + preview enum)",SKIP,SKIP:not-selected|files:3
7076,"Release v3.8.49",SKIP,SKIP:not-selected|files:100
7074,"fix(i18n): restore proxy registry key parity",SKIP,SKIP:not-selected|files:2
7073,"fix(dashboard): strip browser-extension attrs before hydration",SKIP,SKIP:not-selected|files:1
7070,"perf: wrap ComboCard; HeroSection in React.memo",SKIP,SKIP:not-selected|files:3
7068,"deps: bump the development group with 7 updates",SKIP,SKIP:infra-only|files:2
7067,"deps: bump the production group with 11 updates",SKIP,SKIP:infra-only|files:1
7066,"perf: Date.now hoist; hasActiveDeltaValue hoist; buffer.split guard in SSE stream",SKIP,SKIP:not-selected|files:2
7064,"perf: P0 fixes — recharts dynamic imports; DB pagination; quota pools batch loading",SKIP,SKIP:not-selected|files:29
7063,"fix(cloudflare-relay): avoid invalid regex syntax in generated worker",SKIP,SKIP:not-selected|files:3
7062,"feat(providers): add Dahl free inference provider",SKIP,SKIP:not-selected|files:16
7061,"fix(translator): preserve thinking.budget_tokens: 0 in Claude->Gemini (#6813)",PORT,named-map-id
7060,"fix(providers): AgentRouter model import applies Claude Code wire image to /v1/models (#7016)",SKIP,SKIP:not-selected|files:2
7059,"fix(combo): least-used sorts by per-account executionKey (#7015)",SKIP,SKIP:not-selected|files:2
7056,"fix(responses): map mid-conversation system turns to developer role (#6954)",SKIP,SKIP:not-selected|files:2
7055,"fix(build): v3.8.47 hotfix — npm tarball missing head-response-guard.cjs (#7065) + electron win spawn",SKIP,SKIP:not-selected|files:67
7054,"fix(usage): register ollama-cloud in USAGE_FETCHER_PROVIDERS (#7026)",PORT,named-map-id
7053,"fix(antigravity): collect native part.functionCall into tool calls (#7037)",SKIP,SKIP:not-selected|files:2
7052,"fix(combo): treat maxInputTokens as an input-only cap in the context filter (#7039)",SKIP,SKIP:not-selected|files:2
7050,"fix(providers): sanitize Claude native output_config.effort (#7044)",SKIP,SKIP:not-selected|files:2
7048,"fix(codex): normalize nested Responses output content",SKIP,SKIP:not-selected|files:2
7046,"feat(api): add pagination params to /api/combos",SKIP,SKIP:not-selected|files:31
7045,"feat(perf): add performance.mark/measure to SSE pipeline + request-size metric",SKIP,SKIP:not-selected|files:3
7042,"fix(quality): read cognitiveComplexity= machine line in validate-release-green (#7009)",SKIP,SKIP:not-selected|files:2
7041,"fix(sse): register ollama-cloud in USAGE_FETCHER_PROVIDERS (#7026)",SKIP,SKIP:not-selected|files:2
7038,"fix(ci): zero the Sonar quality-gate findings on new code",SKIP,SKIP:not-selected|files:13
7036,"feat(sse): allow disabling `:` comment heartbeats via OMNIROUTE_SSE_COMMENTS=off",SKIP,SKIP:not-selected|files:2
